member,material,burst_kHz,level,capture_index,selected
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_49.csv,5mM_Mn_nitrate_in_water,4,MAX,49,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_50.csv,5mM_Mn_nitrate_in_water,4,MAX,50,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_51.csv,5mM_Mn_nitrate_in_water,4,MAX,51,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_52.csv,5mM_Mn_nitrate_in_water,4,MAX,52,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_53.csv,5mM_Mn_nitrate_in_water,4,MAX,53,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_54.csv,5mM_Mn_nitrate_in_water,4,MAX,54,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_55.csv,5mM_Mn_nitrate_in_water,4,MAX,55,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_56.csv,5mM_Mn_nitrate_in_water,4,MAX,56,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_57.csv,5mM_Mn_nitrate_in_water,4,MAX,57,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_58.csv,5mM_Mn_nitrate_in_water,4,MAX,58,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_59.csv,5mM_Mn_nitrate_in_water,4,MAX,59,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_60.csv,5mM_Mn_nitrate_in_water,4,MAX,60,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_61.csv,5mM_Mn_nitrate_in_water,4,MAX,61,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_62.csv,5mM_Mn_nitrate_in_water,4,MAX,62,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_63.csv,5mM_Mn_nitrate_in_water,4,MAX,63,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,5mM_Mn_nitrate_in_water,4,MAX,64,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_01.csv,5mM_Mn_nitrate_in_water,10,MAX,1,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_02.csv,5mM_Mn_nitrate_in_water,10,MAX,2,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_03.csv,5mM_Mn_nitrate_in_water,10,MAX,3,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_04.csv,5mM_Mn_nitrate_in_water,10,MAX,4,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_05.csv,5mM_Mn_nitrate_in_water,10,MAX,5,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_06.csv,5mM_Mn_nitrate_in_water,10,MAX,6,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_07.csv,5mM_Mn_nitrate_in_water,10,MAX,7,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_08.csv,5mM_Mn_nitrate_in_water,10,MAX,8,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_09.csv,5mM_Mn_nitrate_in_water,10,MAX,9,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_10.csv,5mM_Mn_nitrate_in_water,10,MAX,10,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_11.csv,5mM_Mn_nitrate_in_water,10,MAX,11,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_12.csv,5mM_Mn_nitrate_in_water,10,MAX,12,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_13.csv,5mM_Mn_nitrate_in_water,10,MAX,13,True
Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure10kHz-0002/Lissajousfigure10kHz-0002_14.csv,5mM_Mn_nitrate_in_water,10,MAX,14,True
