condition,condition_label,material,burst_kHz,polarity,bin_index,bin_left,bin_right,source_x_key,source_y_key,x_median,x_ci_low,x_ci_high,estimate,ci_low,ci_high,n_captures,n_observations,within_capture_statistic,across_capture_statistic,uncertainty,midpoint_s,model_dependent_charge_nC,model_dependent_charge_nC_ci_low,model_dependent_charge_nC_ci_high
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10.0,positive,3,0.002483500795862329,0.0033093225719657534,midpoint_s,model_dependent_charge_nC,0.0028997449895844974,0.002894569525142124,0.0029055973526322066,118.40705007582645,111.96567594078331,344.1410169476169,64,527,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0028997449895844974,118.40705007582645,111.96567594078331,344.1410169476169
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10.0,positive,4,0.0033093225719657534,0.004135144348069177,midpoint_s,model_dependent_charge_nC,0.00372043297229287,0.0037147389875586655,0.00372866633797375,112.88742544543877,108.06737179492889,123.79539203086784,63,517,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.00372043297229287,112.88742544543877,108.06737179492889,123.79539203086784
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10.0,positive,5,0.004135144348069177,0.004960966124172602,midpoint_s,model_dependent_charge_nC,0.00454973203939636,0.00454139986435062,0.004553847749999999,113.75301319721362,110.79625007199188,116.06139691363643,63,521,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.00454973203939636,113.75301319721362,110.79625007199188,116.06139691363643
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10.0,positive,6,0.004960966124172602,0.005786787900276026,midpoint_s,model_dependent_charge_nC,0.0053701335171409915,0.005363674046135843,0.005378500747200372,110.9286210646633,106.51976301775235,116.92021915127806,63,519,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0053701335171409915,110.9286210646633,106.51976301775235,116.92021915127806
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10.0,positive,7,0.005786787900276026,0.00661260967637945,midpoint_s,model_dependent_charge_nC,0.006202460076742376,0.00619798177662903,0.006207430359206855,109.40905748066034,106.47607011180759,113.71457870407147,63,527,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.006202460076742376,109.40905748066034,106.47607011180759,113.71457870407147
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10.0,positive,8,0.00661260967637945,0.007438431452482874,midpoint_s,model_dependent_charge_nC,0.007028973964605079,0.007021841304972675,0.00703822562,108.86486555272444,107.65022922553693,114.14260903078855,63,516,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.007028973964605079,108.86486555272444,107.65022922553693,114.14260903078855
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10.0,positive,9,0.007438431452482874,0.008264253228586297,midpoint_s,model_dependent_charge_nC,0.007849456499155482,0.00784536630597487,0.007854886718278664,110.63324028325181,107.35798688439738,117.5263686436472,63,519,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.007849456499155482,110.63324028325181,107.35798688439738,117.5263686436472
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10.0,positive,10,0.008264253228586297,0.009090075004689722,midpoint_s,model_dependent_charge_nC,0.008675195702006967,0.00866503901731656,0.0086785590258027,108.14346702853388,105.50281584911701,111.44143812948674,63,518,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.008675195702006967,108.14346702853388,105.50281584911701,111.44143812948674
BMIM_nitrate_10kHz,"BMIM nitrate, 10 kHz",BMIM_nitrate,10.0,positive,11,0.009090075004689722,0.009915896780793146,midpoint_s,model_dependent_charge_nC,0.009502084403698579,0.009498683540907854,0.00951027949,110.41189822180746,107.74411702087659,114.92446999332437,63,527,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.009502084403698579,110.41189822180746,107.74411702087659,114.92446999332437
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,negative,0,9.441968080028696e-06,0.0008386951634255252,midpoint_s,model_dependent_charge_nC,0.0004261383904995182,0.0004233070109186252,0.00042880960334610994,460.6915117837294,457.311857054431,462.6828372892652,64,1048,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0004261383904995182,460.6915117837294,457.311857054431,462.6828372892652
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,negative,1,0.0008386951634255252,0.0016679483587710216,midpoint_s,model_dependent_charge_nC,0.0012532456067573315,0.0012509941986222693,0.0012552018945767177,460.1622263155125,458.3568633594798,463.54094797810444,64,1056,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0012532456067573315,460.1622263155125,458.3568633594798,463.54094797810444
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,negative,2,0.0016679483587710216,0.002497201554116518,midpoint_s,model_dependent_charge_nC,0.0020810036483075536,0.0020783292971985837,0.0020844718112245034,458.2251324167737,455.6408704669951,462.81784213811466,64,1047,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0020810036483075536,458.2251324167737,455.6408704669951,462.81784213811466
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,negative,3,0.002497201554116518,0.0033264547494620145,midpoint_s,model_dependent_charge_nC,0.002910384225300498,0.002906542409397316,0.002913549463102826,459.3028421165882,456.31406386473145,463.0948273044389,64,1055,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.002910384225300498,459.3028421165882,456.31406386473145,463.0948273044389
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,negative,4,0.0033264547494620145,0.0041557079448075115,midpoint_s,model_dependent_charge_nC,0.003742448426054759,0.0037394984920564906,0.0037460183273892093,460.5573143047817,458.7593754138062,462.64589504123035,64,1057,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.003742448426054759,460.5573143047817,458.7593754138062,462.64589504123035
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,negative,5,0.0041557079448075115,0.004984961140153008,midpoint_s,model_dependent_charge_nC,0.0045725552354218026,0.004569697967260924,0.004575190469123792,461.38165373529137,460.03353156079487,465.1808438471958,64,1049,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0045725552354218026,461.38165373529137,460.03353156079487,465.1808438471958
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,negative,6,0.004984961140153008,0.005814214335498505,midpoint_s,model_dependent_charge_nC,0.005400559316202879,0.005397685354574638,0.005403534721060295,462.37111834382966,459.7904483790594,464.55980980159325,64,1052,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.005400559316202879,462.37111834382966,459.7904483790594,464.55980980159325
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,negative,7,0.005814214335498505,0.006643467530844001,midpoint_s,model_dependent_charge_nC,0.006228891244584949,0.006226295441994942,0.006231301521077639,462.0097457507766,459.7512456654551,465.0251579925253,64,1058,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.006228891244584949,462.0097457507766,459.7512456654551,465.0251579925253
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,negative,8,0.006643467530844001,0.007472720726189497,midpoint_s,model_dependent_charge_nC,0.007058745551447733,0.007055686122275232,0.0070627804287415104,462.2838255668598,460.32616943799803,464.5925300412576,64,1064,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.007058745551447733,462.2838255668598,460.32616943799803,464.5925300412576
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,negative,9,0.007472720726189497,0.008301973921534993,midpoint_s,model_dependent_charge_nC,0.007888137368530982,0.00788485076760977,0.007891583141152195,461.97302944952725,456.5663772753853,463.19781983398514,64,1059,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.007888137368530982,461.97302944952725,456.5663772753853,463.19781983398514
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,negative,10,0.008301973921534993,0.00913122711688049,midpoint_s,model_dependent_charge_nC,0.008716423659398946,0.008712819739965932,0.008718230093286391,461.086493851752,456.7797486473523,464.50507651076657,64,1060,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.008716423659398946,461.086493851752,456.7797486473523,464.50507651076657
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,negative,11,0.00913122711688049,0.009960480312225985,midpoint_s,model_dependent_charge_nC,0.00954608154097171,0.009541879188653152,0.009548295128433599,462.08720746416753,459.5743602807722,463.33633405857586,64,1062,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.00954608154097171,462.08720746416753,459.5743602807722,463.33633405857586
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,positive,0,9.441968080028696e-06,0.0008386951634255252,midpoint_s,model_dependent_charge_nC,0.00042367782738855515,0.00042095301787933696,0.00042581732103543163,143.00541424515615,138.82196623826752,145.44447072059288,63,1044,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.00042367782738855515,143.00541424515615,138.82196623826752,145.44447072059288
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,positive,1,0.0008386951634255252,0.0016679483587710216,midpoint_s,model_dependent_charge_nC,0.0012534902563218777,0.001249240257836371,0.0012577830404562889,141.61232326414256,137.6871332065316,144.60224480161426,63,1047,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0012534902563218777,141.61232326414256,137.6871332065316,144.60224480161426
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,positive,2,0.0016679483587710216,0.002497201554116518,midpoint_s,model_dependent_charge_nC,0.00208310923106599,0.002079375485322497,0.0020857238889246963,141.48183193302435,138.42455271620616,145.98494432206718,63,1044,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.00208310923106599,141.48183193302435,138.42455271620616,145.98494432206718
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,positive,3,0.002497201554116518,0.0033264547494620145,midpoint_s,model_dependent_charge_nC,0.0029106128866947956,0.0029074884859709594,0.0029137260228361923,143.12285135205445,140.23657619883403,146.5717034434383,63,1042,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0029106128866947956,143.12285135205445,140.23657619883403,146.5717034434383
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,positive,4,0.0033264547494620145,0.0041557079448075115,midpoint_s,model_dependent_charge_nC,0.003742074544890911,0.003737665940711731,0.0037444678,142.78710451578857,139.572980289391,146.33174074034798,63,1049,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.003742074544890911,142.78710451578857,139.572980289391,146.33174074034798
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,positive,5,0.0041557079448075115,0.004984961140153008,midpoint_s,model_dependent_charge_nC,0.004570437935559685,0.0045676274633501416,0.0045745749475275144,146.38662753223196,141.6427805261728,148.71455224055453,63,1043,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.004570437935559685,146.38662753223196,141.6427805261728,148.71455224055453
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,positive,6,0.004984961140153008,0.005814214335498505,midpoint_s,model_dependent_charge_nC,0.005399488756664657,0.005397135678051759,0.005401922406920194,144.66167052655751,141.50154991290202,147.44486605517199,63,1048,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.005399488756664657,144.66167052655751,141.50154991290202,147.44486605517199
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,positive,7,0.005814214335498505,0.006643467530844001,midpoint_s,model_dependent_charge_nC,0.006228401168764218,0.00622529630597096,0.006232307695844054,146.44020621100555,143.23176142785695,150.16104788478424,64,1052,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.006228401168764218,146.44020621100555,143.23176142785695,150.16104788478424
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20.0,positive,8,0.006643467530844001,0.007472720726189497,midpoint_s,model_dependent_charge_nC,0.007057963162192852,0.007053784177956505,0.007060405287544976,143.33076498647193,140.2502528201214,147.13593814893702,64,1063,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.007057963162192852,143.33076498647193,140.2502528201214,147.13593814893702
