condition,material,burst_kHz,level,vpp,vpp_low,vpp_high,x,x_low,x_high,y,y_low,y_high
BMIM_nitrate_20kHz,BMIM_nitrate,20,105,5.44875729,5.36970949,5.52780509,3.221825716,3.1703677800000003,3.2534448120000006,305.65944520000005,288.48040210000005,312.7768219
BMIM_nitrate_20kHz,BMIM_nitrate,20,115,6.47576261,6.15957189,7.048243790000001,3.9957553519999998,1.472563949,4.315898710750001,461.2696796,167.62195544999997,609.9670845
argon_only_4kHz,argon_only,4,40,1.57849408,0.88759533625,1.57849408,-0.34707184399999996,-0.39839135750000004,-0.13788754525000002,25.233759599999996,14.775313875,25.2337596
argon_only_4kHz,argon_only,4,60,2.52706694,2.52706694,2.52706694,-0.5522268610000001,-0.5996093682500001,-0.48506704149999996,36.300442399999994,34.7194876,36.300442399999994
argon_only_4kHz,argon_only,4,75,3.15821838,3.15821838,3.15821838,-0.7260088520000001,-0.8208661400000001,-0.64323941625,44.2052164,42.624261600000004,44.2052164
argon_only_4kHz,argon_only,4,90,3.7906003,3.59298095,3.7906003,-0.757627947,-0.8603900067500001,0.7030788592500002,53.690945199999994,25.450603025,53.690945199999994
argon_only_4kHz,argon_only,4,100,4.10617614,4.10617614,4.10617614,1.326771602,0.9060731055000002,1.399967696125,70.2909706,63.17667399999999,76.8112556875
argon_only_4kHz,argon_only,4,105,4.4223671,4.4223671,4.4223671,1.358513796,0.22488619224999995,1.421728907,87.6445626,71.8576993625,97.60357744999999
argon_only_4kHz,argon_only,4,115,5.21161413,5.01437923625,5.21161413,2.6610789715,0.84876354025,3.2176734277500003,161.10359300000002,50.328340912499996,200.604392475
argon_only_10kHz,argon_only,10,40,1.57910925,1.57910925,1.57910925,0.631766734,0.5922274872500001,0.6632627952500001,26.814714199999997,26.814714199999997,26.814714199999997
argon_only_10kHz,argon_only,10,60,2.2108759800000004,2.2108759800000004,2.2108759800000004,0.821481301,0.6475762805,0.8529619827500001,34.7194876,33.73139085,34.7194876
argon_only_10kHz,argon_only,10,75,2.8426426600000005,2.8426426600000005,2.8426426600000005,1.232221961,1.2004874871250002,1.2638564125,44.2052164,44.2052164,44.2052164
argon_only_10kHz,argon_only,10,90,3.4744093400000002,3.4744093400000002,3.4744093400000002,1.0740649290000002,1.0109959457500002,1.1572342507500004,47.367126,47.367126,47.367126
argon_only_10kHz,argon_only,10,100,4.10617602,3.94808054,4.10617602,2.1163878,1.224209507,2.15768794725,93.1840562,60.0147644,96.74120450000001
argon_only_10kHz,argon_only,10,105,4.26427162,4.26427162,4.461891045,1.990157429,1.7611497440000001,2.0216535167500003,115.28666439999998,99.678580625,128.52716085
argon_only_10kHz,argon_only,10,115,4.896038290000001,4.896038290000001,4.896038290000001,3.482529491,3.182409538125,3.5575018052500003,192.6950043,185.5976284,195.26328525000002
argon_only_20kHz,argon_only,20,40,1.7365895500000001,1.6381643625,1.7365895500000001,-0.47391732800000014,-0.5055364220000002,-0.18563915125000002,33.138532999999995,18.332461799999997,33.138532999999995
