condition,material,burst_kHz,member,capture_index,period_index,start_s,stop_s,midpoint_s,signed_raw_qv_energy_uJ,raw_qv_energy_uJ,apparent_power_using_capture_frequency_mW,detected_activity_on_fraction,closure_delta_V_kV,closure_delta_Q_nC,closure_contribution_fraction,detected_burst_Hz,detector_method,source_voltage_clipped,monitor_voltage_clipped,power_usable
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,30,0.00753469559,0.00778460758,0.007659651585,3725.099911065741,3725.099911065741,14899.44607972779,0.18893051109712897,0.15748031,0.0,0.0001664388218073591,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,31,0.00778471158,0.008034623570000001,0.007909667575000001,3730.0720707640958,3730.0720707640958,14919.333445729802,0.18893051109712417,0.0,-7.874016,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,32,0.008034727569999999,0.00828463955,0.008159683559999999,3668.284321862754,3668.284321862754,14672.198266775658,0.18435286695739514,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,33,0.00828474355,0.00853465554,0.008409699545,3713.8816691855104,3713.8816691855104,14854.575983892959,0.1910112435981943,0.15748031,0.0,0.00016694157098668473,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,34,0.008534759539999999,0.008784671530000001,0.008659715535000001,3615.278669008616,3615.278669008616,14460.189223937648,0.18893051109712525,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,35,0.008784775529999999,0.00903468751,0.008909731519999999,3700.219929222007,3700.219929222007,14799.932521220506,0.19184350426098035,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,36,0.00903479151,0.009284703500000002,0.009159747505,3720.1253825366834,3720.1253825366834,14879.549239009346,0.19059509709797595,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,37,0.009284807499999999,0.009534719490000001,0.009409763495,3652.7529048759866,3652.7529048759866,14610.076574616829,0.1893466575973388,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,38,0.00953482349,0.00978473547,0.00965977948,3645.2230593230347,3645.2230593230347,14579.959119922094,0.1897627716766553,0.0,-7.874016,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_64.csv,64,0,0.00019239999,0.00044231198,0.00031735598500000003,3680.3120697545223,3680.3120697545223,14720.306179436368,0.19933417360247477,0.0,-7.874016,0.0,3999.7440163866904,voltage activity-envelope rising edges,False,False,True
