condition,material,burst_kHz,member,capture_index,burst_index,target_charge_polarity,pin_voltage_polarity,amplitude_kV,duration_s,midpoint_s,nominal_directed_terminal_charge_nC,passive_background_nC,terminal_excess_nC,model_factor,model_dependent_charge_nC,halfcycle_average_equivalent_flow_per_s,above_passive_resolution_threshold,background_model,evidence_tier,factor_source
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,33,negative,-1,4.0802370533333265,4.708558428580256e-06,0.008299796245434794,321.27930448290783,100.58133831933394,220.69796616357388,1.0,220.69796616357388,2.925499129763006e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,34,negative,-1,4.080339593333326,4.734700335143338e-06,0.00854982526585263,317.519082459173,98.64446688797103,218.87461557120196,1.0,218.87461557120196,2.8853101623281734e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,35,negative,-1,4.080237053333334,4.723434730135451e-06,0.008799868569450262,321.19851047396116,99.177150182196,222.02136029176518,1.0,222.02136029176518,2.933772591678083e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,36,negative,-1,4.159182293333333,4.770113948110791e-06,0.009049899244907525,317.5175409562728,98.21602152271684,219.30151943355594,1.0,219.30151943355594,2.8694753175229216e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,37,negative,-1,4.080237053333334,4.721664831936964e-06,0.0092998875,311.97096921235914,98.82866232777342,213.1423068845857,1.0,213.1423068845857,2.817501220275948e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,38,negative,-1,4.082213246833334,4.712025830407723e-06,0.009549927530000094,322.9301185252384,98.79099803236824,224.13912049287018,1.0,224.13912049287018,2.968927601096901e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,0,positive,1,3.8698532800000005,3.073015554746099e-06,4.519065980665742e-05,82.5050974725749,66.9216149600918,15.583482512483101,1.0,15.583482512483101,3.1651140640386424e+16,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,1,positive,1,3.975250266666666,3.0851700559102733e-06,0.00029521271705723953,79.62786636528436,67.81407236355082,11.813794001733541,1.0,11.813794001733541,2.3900109598293896e+16,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,2,positive,1,3.9225440428333336,3.0418235894784764e-06,0.0005452503777576482,82.28137673693016,66.40045903033301,15.880917706597145,1.0,15.880917706597145,3.258600936600833e+16,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,3,positive,1,3.950972143000006,3.0178436668587202e-06,0.0007952703644114182,76.45174514115583,67.2342087367285,9.217536404427321,1.0,9.217536404427321,1.9063723460629108e+16,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,4,positive,1,3.9225518133333335,3.076565269866582e-06,0.0010452649794502615,78.30869164806855,67.9433370109565,10.365354637112048,1.0,10.365354637112048,2.1028468227603824e+16,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,5,positive,1,3.8698532800000005,3.0591870317823403e-06,0.0012953070144131858,86.89867476750781,67.00768381365992,19.89099095384789,1.0,19.89099095384789,4.058261206282851e+16,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,6,positive,1,3.975250346666666,3.0591870317823403e-06,0.0015453230044131859,90.19147457385705,67.61048239514194,22.580992178715107,1.0,22.580992178715107,4.607088946492554e+16,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,7,positive,1,3.975250346666666,3.0591870317823403e-06,0.0017953389844131856,93.44842533335934,68.34388600446604,25.104539328893296,1.0,25.104539328893296,5.121955879243968e+16,False,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
