member,level_label,carrier_Hz,record_duration_s,voltage_pp_kV,q_sign,current_sign,monitor_Cprime_pF,monitor_Closs_pF,monitor_tan_delta,monitor_phase_deg,current_Creactive_pF,current_G_uS,current_monitor_gain_ratio,current_monitor_phase_error_deg,monitor_x_Uqpp_kV,monitor_y_Qpp_nC,current_x_Uqpp_kV,current_y_Qpp_nC,skipped_rows,clipping_flag,quiet_both_edges
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_47.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,26.82903801830085,8.860024378066733,0.33024010670912085,-18.27529513465725,72.91062351996112,0.05749345664890294,2.5805288338354124,18.21537017797266,0.63051980326,63.17667399999999,1.8001086889220002,133.26398688200425,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_51.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,27.045127837502147,8.890127292529883,0.3287145598255365,-18.19644711729551,72.95910264450573,0.11870888382892619,2.5627788911806033,18.07280018592283,0.5994244623560001,63.17667399999999,1.8000771313419999,133.32798367633615,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_56.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,26.877147562210443,9.088301297771846,0.3381423299007405,-18.682571719971126,72.78447566337181,0.01268148373956009,2.5653503653411125,18.669331000545185,0.630535612808,63.17667399999999,1.8001087504379998,133.26250545400472,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_60.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,27.032852857135165,9.104523556829248,0.3367947735647946,-18.613256411044475,73.11398705770318,0.35123691237544213,2.563219528229067,18.248188143267726,0.6307658712599999,63.17667399999999,1.80009294089,133.628812147994,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_64.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,26.920457796733693,8.879597446583796,0.32984570744042746,-18.25491743038109,73.03293874064653,0.2640331030846902,2.576410579616242,17.980180808421892,0.630567231904,63.17667399999999,1.8001086274059999,133.57653587632845,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_01.csv,60,119994.81622405129,0.01000032746,2.6849421111100003,1,-1,28.446944501050826,9.791237816805902,0.3441929524784011,-18.99310201904922,75.7834575523264,0.644706116982009,2.519152741795286,18.346630756426038,0.75669635351,88.43504,2.6218079137280004,200.72147497967947,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_05.csv,60,119994.81622405129,0.01000032746,2.8428794956300005,1,-1,28.33946994505199,9.67979428275285,0.3415658197390851,-18.858413296872644,75.46406408936338,0.6254231845032173,2.520071265064053,18.228622117083944,0.7567278515700001,88.43504,2.62183940979,201.2220319145197,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_09.csv,60,119994.81622405129,0.01000032746,2.8428794956300005,1,-1,28.204901366504757,9.814820305471562,0.3479827912863163,-19.187017121607493,75.5105726835289,0.4700284142279056,2.5285837836197036,18.713989217663027,0.75665206366,88.43504,2.621823661758,201.1108621237065,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_14.csv,60,119994.81622405129,0.01000032746,2.8428794956300005,1,-1,28.197534650304164,9.703106798784718,0.34411188492608347,-18.98894906947925,75.41630164440843,0.5897045156934962,2.529160242288252,18.394747313184155,0.7882239135700002,88.43504,2.621823723274,201.35065156859534,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/60% breakdown/0_6breakdown-0004/0_6breakdown-0004_18.csv,60,119994.81622405129,0.01000032746,2.6849421111100003,1,-1,28.37498240468002,9.751842968513616,0.3436774983481646,-18.96669267277288,75.58498170326251,0.5968993534982416,2.5193044127257176,18.36658387466599,0.7882396576000001,88.43504,2.62179210418,201.61005803900267,0,False,False
