EN_Td,Emean_eV,w_ms,muN,DNt,DNl,kion_m3s,katt_m3s,keff_m3s,alphaN_ion_m2,alphaN_eff_m2
150,7.22622714678403,110661.659099978,7.37744393999853e+23,5.12068600553328e+24,3.37361441313562e+24,2.47414038059693e-16,0,2.47414038059693e-16,2.23577018519274e-21,2.23577018519274e-21
158.489,7.32001538393651,117935.035683162,7.44121268246769e+23,5.04580965588454e+24,3.37893837923451e+24,2.98631064941278e-16,0,2.98631064941278e-16,2.53216580816207e-21,2.53216580816207e-21
170,7.38623205600563,121913.135448372,7.17136090872778e+23,4.96006637629276e+24,3.28131312686486e+24,3.33905453882134e-16,0,3.33905453882134e-16,2.73888004482942e-21,2.73888004482942e-21
190,7.56173886655817,134666.544343736,7.08771286019664e+23,4.95485495799592e+24,3.26122347245582e+24,4.47945351583335e-16,0,4.47945351583335e-16,3.32632988962689e-21,3.32632988962689e-21
206.199,7.68401778483324,144464.712856647,7.00608212729678e+23,4.84678257849582e+24,3.37163496944977e+24,5.39874291594051e-16,0,5.39874291594051e-16,3.73706686510893e-21,3.73706686510893e-21
210,7.73405377524857,148478.32268128,7.07039631815618e+23,4.8348489508598e+24,3.27428401709895e+24,5.82295735593975e-16,0,5.82295735593975e-16,3.92175588381287e-21,3.92175588381287e-21
230,7.92207876665311,162646.726704531,7.07159681324048e+23,4.79912915495552e+24,3.43481427926542e+24,7.4016783261784e-16,0,7.4016783261784e-16,4.5507699270361e-21,4.5507699270361e-21
250,8.07926791076228,173585.113862868,6.94340455451474e+23,4.78142936433289e+24,3.34599036063709e+24,8.91047620823349e-16,0,8.91047620823349e-16,5.13320296305634e-21,5.13320296305634e-21
268.27,8.25215424349519,186475.315132211,6.95103124211468e+23,4.84473171872423e+24,3.43897527087614e+24,1.07641762934387e-15,0,1.07641762934387e-15,5.77244032852654e-21,5.77244032852654e-21
270,8.22931987444757,184473.2943299,6.83234423444076e+23,4.79720272140249e+24,3.36230618212289e+24,1.05171777290913e-15,0,1.05171777290913e-15,5.70119255868174e-21,5.70119255868174e-21
290,8.41926522085179,198353.583665073,6.83977874707149e+23,4.77075372059672e+24,3.45023368683606e+24,1.26490537735445e-15,0,1.26490537735445e-15,6.37702306145515e-21,6.37702306145515e-21
310,8.51676901687351,204707.486582408,6.60346730910993e+23,4.5809624045676e+24,3.44869571969255e+24,1.38498181361964e-15,0,1.38498181361964e-15,6.76566273535919e-21,6.76566273535919e-21
330,8.71356069134474,218876.163326425,6.63261100989167e+23,4.72462827633188e+24,3.37062338721145e+24,1.62738293402759e-15,0,1.62738293402759e-15,7.43517662816741e-21,7.43517662816741e-21
349.025,8.87609173599766,230418.527291937,6.60177715899826e+23,4.685472499939e+24,3.53151767513071e+24,1.84548854378625e-15,0,1.84548854378625e-15,8.00928886004049e-21,8.00928886004049e-21
350,8.88953894528329,230494.967792933,6.58557050836951e+23,4.69150033794427e+24,3.45487330046294e+24,1.84256475816189e-15,0,1.84256475816189e-15,7.99394787576089e-21,7.99394787576089e-21
370,9.02227887715732,241530.951308004,6.52786354886496e+23,4.62250176404951e+24,3.42390304468409e+24,2.06152140484208e-15,0,2.06152140484208e-15,8.53522661869204e-21,8.53522661869204e-21
390,9.22950267040658,257003.418450908,6.58983124233098e+23,4.65738148197218e+24,3.47126294958433e+24,2.35744234240406e-15,0,2.35744234240406e-15,9.17280539151417e-21,9.17280539151417e-21
454.091,9.7588021683474,291836.012133574,6.42681779937445e+23,4.7095265322604e+24,3.5576011683951e+24,3.22026407703086e-15,0,3.22026407703086e-15,1.10344986332836e-20,1.10344986332836e-20
590.784,11.0584290526967,373362.43996207,6.31977914029611e+23,4.8823552614764e+24,3.94530244637077e+24,5.6235533350986e-15,0,5.6235533350986e-15,1.50619150005284e-20,1.50619150005284e-20
768.625,12.6194060985809,465925.172459069,6.06180091018466e+23,4.96701711593177e+24,4.35179996778541e+24,8.98812938084744e-15,0,8.98812938084744e-15,1.92909289133483e-20,1.92909289133483e-20
1000,15.1420348288235,601967.751783002,6.01967751783002e+23,5.43040057630135e+24,5.01055289910248e+24,1.46583434068049e-14,0,1.46583434068049e-14,2.4350712082811e-20,2.4350712082811e-20
